Roll,Pitch,Label
66.73,16.10,slouch
66.66,16.16,slouch
66.62,16.21,slouch
66.51,16.22,slouch
66.53,16.23,slouch
66.43,16.30,slouch
66.39,16.36,slouch
66.32,16.38,slouch
66.28,16.45,slouch
66.19,16.51,slouch
66.22,16.48,slouch
66.20,16.48,slouch
66.28,16.47,slouch
66.35,16.48,slouch
66.47,16.44,slouch
66.62,16.35,slouch
66.59,16.35,slouch
66.60,16.34,slouch
66.64,16.30,slouch
66.62,16.24,slouch
66.62,16.19,slouch
66.60,16.19,slouch
66.60,16.17,slouch
66.64,16.16,slouch
66.75,16.13,slouch
66.81,16.05,slouch
66.92,15.92,slouch
66.91,15.84,slouch
66.84,15.76,slouch
66.74,15.78,slouch
66.60,15.85,slouch
66.48,15.92,slouch
66.40,16.02,slouch
66.45,16.06,slouch
66.35,16.19,slouch
66.34,16.29,slouch
66.30,16.34,slouch
66.35,16.32,slouch
66.31,16.31,slouch
66.39,16.25,slouch
66.45,16.15,slouch
66.44,16.17,slouch
66.38,16.21,slouch
66.38,16.21,slouch
66.40,16.21,slouch
66.47,16.18,slouch
66.48,16.19,slouch
66.38,16.27,slouch
66.35,16.34,slouch
66.31,16.42,slouch
66.31,16.44,slouch
66.30,16.49,slouch
66.27,16.51,slouch
66.31,16.47,slouch
66.33,16.46,slouch
66.30,16.43,slouch
66.35,16.34,slouch
66.41,16.29,slouch
66.42,16.27,slouch
66.43,16.30,slouch
66.50,16.22,slouch
66.47,16.19,slouch
66.47,16.25,slouch
66.50,16.25,slouch
66.55,16.28,slouch
66.57,16.28,slouch
66.54,16.31,slouch
66.54,16.32,slouch
66.52,16.35,slouch
66.49,16.35,slouch
66.48,16.36,slouch
66.40,16.43,slouch
66.29,16.50,slouch
66.29,16.52,slouch
66.24,16.55,slouch
66.17,16.62,slouch
66.08,16.67,slouch
66.10,16.70,slouch
66.20,16.67,slouch
66.23,16.65,slouch
66.27,16.63,slouch
66.28,16.63,slouch
66.28,16.64,slouch
66.28,16.60,slouch
66.30,16.54,slouch
66.29,16.51,slouch
66.31,16.52,slouch
66.32,16.49,slouch
66.40,16.39,slouch
66.44,16.35,slouch
66.46,16.39,slouch
66.51,16.35,slouch
66.49,16.39,slouch
66.42,16.41,slouch
66.39,16.40,slouch
66.37,16.43,slouch
66.41,16.47,slouch
66.43,16.50,slouch
66.38,16.57,slouch
66.40,16.59,slouch
66.31,16.64,slouch
66.29,16.68,slouch
66.32,16.74,slouch
66.27,16.79,slouch
66.29,16.80,slouch
66.23,16.81,slouch
66.28,16.73,slouch
66.29,16.66,slouch
66.36,16.56,slouch
66.40,16.50,slouch
66.43,16.46,slouch
66.51,16.43,slouch
66.48,16.44,slouch
66.52,16.45,slouch
66.58,16.41,slouch
66.64,16.35,slouch
66.62,16.29,slouch
66.63,16.23,slouch
66.62,16.18,slouch
66.65,16.14,slouch
66.58,16.17,slouch
66.55,16.24,slouch
66.52,16.29,slouch
66.47,16.35,slouch
66.43,16.39,slouch
66.40,16.49,slouch
66.35,16.58,slouch
66.37,16.59,slouch
66.35,16.59,slouch
66.30,16.62,slouch
66.31,16.60,slouch
66.28,16.59,slouch
66.27,16.57,slouch
66.29,16.56,slouch
66.29,16.54,slouch
66.30,16.59,slouch
66.32,16.59,slouch
66.34,16.63,slouch
66.32,16.65,slouch
66.34,16.67,slouch
66.29,16.66,slouch
66.35,16.62,slouch
66.38,16.57,slouch
66.47,16.51,slouch
66.51,16.53,slouch
66.47,16.55,slouch
66.47,16.47,slouch
66.40,16.52,slouch
66.40,16.56,slouch
66.39,16.59,slouch
66.39,16.59,slouch
66.43,16.57,slouch
66.46,16.59,slouch
66.48,16.55,slouch
66.47,16.55,slouch
66.41,16.54,slouch
66.36,16.60,slouch
