Roll,Pitch,Label
52.24,8.04,slouch
52.17,8.01,slouch
52.15,7.95,slouch
52.10,7.93,slouch
52.14,7.94,slouch
52.17,7.98,slouch
52.19,8.01,slouch
52.16,8.02,slouch
52.16,8.00,slouch
52.26,8.05,slouch
52.32,8.02,slouch
52.33,7.94,slouch
52.32,7.90,slouch
52.31,7.88,slouch
52.36,7.87,slouch
52.42,7.84,slouch
52.43,7.82,slouch
52.42,7.85,slouch
52.44,7.84,slouch
52.44,7.87,slouch
52.40,7.88,slouch
52.37,7.90,slouch
52.29,7.90,slouch
52.21,7.92,slouch
52.20,7.93,slouch
52.15,7.91,slouch
52.17,7.89,slouch
52.17,7.92,slouch
52.25,7.95,slouch
52.29,7.98,slouch
52.32,7.95,slouch
52.36,7.94,slouch
52.36,8.02,slouch
52.30,7.97,slouch
52.22,7.92,slouch
52.24,7.85,slouch
52.19,7.83,slouch
52.16,7.81,slouch
52.15,7.77,slouch
52.12,7.74,slouch
52.11,7.66,slouch
52.08,7.70,slouch
52.09,7.70,slouch
52.12,7.70,slouch
52.18,7.69,slouch
52.28,7.66,slouch
52.27,7.65,slouch
52.28,7.67,slouch
52.37,7.71,slouch
52.37,7.71,slouch
52.35,7.68,slouch
52.44,7.62,slouch
52.48,7.64,slouch
52.46,7.69,slouch
52.43,7.71,slouch
52.44,7.73,slouch
52.47,7.78,slouch
52.43,7.81,slouch
52.44,7.82,slouch
52.39,7.83,slouch
52.42,7.81,slouch
52.44,7.87,slouch
52.46,7.90,slouch
52.35,7.91,slouch
52.35,7.92,slouch
52.37,7.90,slouch
52.46,7.87,slouch
52.47,7.89,slouch
52.45,7.80,slouch
52.45,7.82,slouch
52.42,7.76,slouch
52.40,7.75,slouch
52.39,7.71,slouch
52.34,7.60,slouch
52.34,7.55,slouch
52.36,7.50,slouch
52.40,7.52,slouch
52.44,7.54,slouch
52.41,7.57,slouch
52.40,7.58,slouch
52.42,7.60,slouch
52.39,7.65,slouch
52.34,7.74,slouch
52.20,7.74,slouch
52.20,7.74,slouch
52.07,7.74,slouch
52.07,7.81,slouch
52.17,7.84,slouch
52.18,7.88,slouch
52.15,7.90,slouch
52.15,7.89,slouch
52.21,7.92,slouch
52.24,7.90,slouch
52.30,7.81,slouch
52.37,7.79,slouch
52.37,7.72,slouch
52.34,7.75,slouch
52.37,7.72,slouch
52.35,7.71,slouch
52.32,7.69,slouch
52.28,7.74,slouch
52.24,7.80,slouch
52.25,7.80,slouch
52.23,7.89,slouch
52.23,7.96,slouch
52.17,7.99,slouch
52.11,8.00,slouch
52.12,8.06,slouch
52.14,8.08,slouch
52.15,8.07,slouch
52.19,8.09,slouch
52.26,8.03,slouch
52.18,8.02,slouch
52.21,7.97,slouch
52.24,7.96,slouch
52.23,7.96,slouch
52.24,7.90,slouch
52.16,7.88,slouch
52.15,7.84,slouch
52.06,7.84,slouch
52.01,7.87,slouch
51.94,7.94,slouch
51.98,7.95,slouch
51.93,7.94,slouch
51.94,7.92,slouch
51.91,7.91,slouch
51.94,7.86,slouch
51.92,7.91,slouch
51.90,7.84,slouch
51.95,7.78,slouch
52.01,7.75,slouch
52.12,7.69,slouch
52.23,7.65,slouch
52.23,7.59,slouch
52.21,7.56,slouch
52.23,7.52,slouch
52.27,7.47,slouch
52.27,7.49,slouch
52.30,7.57,slouch
52.29,7.59,slouch
52.23,7.71,slouch
52.24,7.77,slouch
52.28,7.85,slouch
52.27,8.01,slouch
52.27,8.13,slouch
52.20,8.28,slouch
52.21,8.30,slouch
52.18,8.31,slouch
52.15,8.31,slouch
52.15,8.28,slouch
52.21,8.22,slouch
52.24,8.24,slouch
52.28,8.22,slouch
52.33,8.10,slouch
52.38,8.06,slouch
52.42,7.93,slouch
52.39,7.90,slouch
52.38,7.78,slouch
52.44,7.61,slouch
52.47,7.53,slouch
52.43,7.52,slouch
52.30,7.52,slouch
52.22,7.60,slouch
52.22,7.73,slouch
52.19,7.86,slouch
52.13,7.96,slouch
52.07,8.07,slouch
51.93,8.18,slouch
51.85,8.25,slouch
51.86,8.25,slouch
51.82,8.28,slouch
51.72,8.29,slouch
51.67,8.30,slouch
51.67,8.26,slouch
51.64,8.22,slouch
51.65,8.17,slouch
51.64,8.17,slouch
51.70,8.11,slouch
51.72,8.09,slouch
51.76,8.05,slouch
51.71,8.10,slouch
51.71,8.10,slouch
51.76,8.15,slouch
51.80,8.17,slouch
51.84,8.21,slouch
51.91,8.22,slouch
51.91,8.28,slouch
51.90,8.32,slouch
51.88,8.33,slouch
51.88,8.34,slouch
51.87,8.35,slouch
51.83,8.33,slouch
51.78,8.34,slouch
51.81,8.29,slouch
51.80,8.29,slouch
51.83,8.26,slouch
51.91,8.19,slouch
51.92,8.15,slouch
51.89,8.18,slouch
51.81,8.18,slouch
51.79,8.12,slouch
51.71,8.12,slouch
51.72,8.10,slouch
51.74,8.10,slouch
51.72,8.10,slouch
51.78,8.11,slouch
51.81,8.10,slouch
51.85,8.13,slouch
51.86,8.17,slouch
51.85,8.14,slouch
51.80,8.05,slouch
51.80,7.98,slouch
51.81,7.91,slouch
51.93,7.87,slouch
51.96,7.84,slouch
52.00,7.84,slouch
51.96,7.77,slouch
51.95,7.78,slouch
51.94,7.79,slouch
51.96,7.78,slouch
52.06,7.81,slouch
52.07,7.84,slouch
52.05,7.95,slouch
52.02,8.05,slouch
52.05,8.15,slouch
52.05,8.25,slouch
52.09,8.32,slouch
52.05,8.36,slouch
52.06,8.29,slouch
52.10,8.24,slouch
52.07,8.22,slouch
52.09,8.18,slouch
52.09,8.06,slouch
52.06,7.98,slouch
51.99,7.97,slouch
52.05,7.98,slouch
52.10,7.94,slouch
52.11,7.99,slouch
52.06,8.02,slouch
52.03,8.01,slouch
51.98,8.01,slouch
51.90,8.01,slouch
51.94,8.05,slouch
51.97,8.09,slouch
51.95,8.15,slouch
51.98,8.12,slouch
51.95,8.15,slouch
52.00,8.16,slouch
52.01,8.20,slouch
51.99,8.18,slouch
51.91,8.20,slouch
51.84,8.21,slouch
51.77,8.19,slouch
51.75,8.25,slouch
51.77,8.28,slouch
51.85,8.21,slouch
51.85,8.15,slouch
51.84,8.12,slouch
51.85,8.13,slouch
51.85,8.12,slouch
51.86,8.11,slouch
51.87,8.12,slouch
51.90,8.15,slouch
51.96,8.14,slouch
51.96,8.23,slouch
51.92,8.22,slouch
51.97,8.24,slouch
51.97,8.20,slouch
51.97,8.19,slouch
51.99,8.18,slouch
51.91,8.14,slouch
51.86,8.17,slouch
51.75,8.16,slouch
51.74,8.11,slouch
51.82,8.18,slouch
51.80,8.22,slouch
51.77,8.24,slouch
51.81,8.28,slouch
51.84,8.34,slouch
51.85,8.33,slouch
51.89,8.32,slouch
51.90,8.31,slouch
51.91,8.27,slouch
51.88,8.23,slouch
51.87,8.20,slouch
51.90,8.15,slouch
51.89,8.12,slouch
51.81,8.09,slouch
51.81,8.09,slouch
51.84,8.08,slouch
51.83,8.12,slouch
51.88,8.14,slouch
51.89,8.16,slouch
51.87,8.16,slouch
51.78,8.15,slouch
51.71,8.17,slouch
51.66,8.19,slouch
51.61,8.17,slouch
51.54,8.07,slouch
51.51,7.98,slouch
51.55,7.84,slouch
51.66,7.79,slouch
51.68,7.77,slouch
51.67,7.73,slouch
51.74,7.69,slouch
51.74,7.66,slouch
51.76,7.65,slouch
51.85,7.66,slouch
51.81,7.70,slouch
51.82,7.66,slouch
51.84,7.70,slouch
51.89,7.73,slouch
51.86,7.73,slouch
51.97,7.73,slouch
51.98,7.74,slouch
51.95,7.78,slouch
51.94,7.89,slouch
51.93,7.92,slouch
51.97,7.93,slouch
52.00,7.91,slouch
51.98,7.96,slouch
52.04,8.00,slouch
52.07,8.02,slouch
52.07,8.02,slouch
52.04,8.05,slouch
51.96,8.02,slouch
51.86,8.02,slouch
51.84,8.01,slouch
51.83,8.09,slouch
51.81,8.14,slouch
51.79,8.10,slouch
51.70,8.08,slouch
51.68,8.06,slouch
51.61,8.03,slouch
51.58,8.06,slouch
51.63,8.07,slouch
51.67,8.06,slouch
51.70,8.10,slouch
51.81,8.13,slouch
51.86,8.14,slouch
51.88,8.15,slouch
51.84,8.16,slouch
51.84,8.17,slouch
51.81,8.24,slouch
51.77,8.31,slouch
51.76,8.32,slouch
51.80,8.33,slouch
51.81,8.42,slouch
51.74,8.46,slouch
51.66,8.50,slouch
51.71,8.48,slouch
51.75,8.54,slouch
51.76,8.51,slouch
51.78,8.45,slouch
51.84,8.37,slouch
51.82,8.32,slouch
51.85,8.25,slouch
51.91,8.24,slouch
51.93,8.20,slouch
51.96,8.13,slouch
51.91,8.13,slouch
51.85,8.15,slouch
51.85,8.09,slouch
51.87,8.07,slouch
51.86,8.00,slouch
51.84,7.97,slouch
51.79,7.95,slouch
51.74,7.96,slouch
51.71,7.95,slouch
51.68,7.91,slouch
51.69,8.00,slouch
51.71,8.06,slouch
51.69,8.06,slouch
51.72,8.07,slouch
51.69,8.00,slouch
51.71,8.00,slouch
51.62,7.94,slouch
51.58,7.93,slouch
51.59,7.93,slouch
51.61,7.88,slouch
51.66,7.89,slouch
51.67,7.91,slouch
51.70,7.88,slouch
51.74,7.93,slouch
51.75,7.95,slouch
51.86,7.98,slouch
51.84,8.00,slouch
51.81,7.98,slouch
51.81,8.01,slouch
51.81,8.07,slouch
51.77,8.09,slouch
51.75,8.11,slouch
51.77,8.14,slouch
51.86,8.18,slouch
51.89,8.16,slouch
51.87,8.20,slouch
51.90,8.25,slouch
51.86,8.26,slouch
51.89,8.28,slouch
51.82,8.26,slouch
51.82,8.26,slouch
51.84,8.28,slouch
51.80,8.23,slouch
51.81,8.21,slouch
51.86,8.20,slouch
51.86,8.18,slouch
51.95,8.22,slouch
51.97,8.23,slouch
51.94,8.23,slouch
51.93,8.27,slouch
51.97,8.26,slouch
51.94,8.25,slouch
51.92,8.23,slouch
51.86,8.24,slouch
51.85,8.27,slouch
51.84,8.28,slouch
51.83,8.30,slouch
51.83,8.28,slouch
51.80,8.29,slouch
