Roll,Pitch,Label
87.64,-1.86,upright
87.62,-1.89,upright
87.56,-1.93,upright
87.51,-1.95,upright
87.43,-2.01,upright
87.40,-2.07,upright
87.39,-2.14,upright
87.36,-2.18,upright
87.29,-2.26,upright
87.20,-2.34,upright
87.10,-2.40,upright
87.03,-2.45,upright
86.96,-2.53,upright
86.96,-2.54,upright
86.92,-2.56,upright
86.97,-2.54,upright
87.08,-2.48,upright
87.16,-2.41,upright
87.25,-2.35,upright
87.29,-2.31,upright
87.34,-2.24,upright
87.37,-2.26,upright
87.34,-2.32,upright
87.30,-2.39,upright
87.27,-2.45,upright
87.24,-2.46,upright
87.22,-2.45,upright
87.25,-2.43,upright
87.27,-2.41,upright
87.28,-2.37,upright
87.29,-2.38,upright
87.29,-2.35,upright
87.25,-2.43,upright
87.12,-2.56,upright
87.03,-2.63,upright
86.99,-2.62,upright
86.90,-2.68,upright
86.88,-2.67,upright
86.87,-2.66,upright
86.90,-2.57,upright
86.84,-2.64,upright
86.75,-2.71,upright
86.75,-2.66,upright
86.74,-2.59,upright
86.72,-2.50,upright
86.72,-2.45,upright
86.72,-2.44,upright
86.81,-2.41,upright
86.91,-2.36,upright
86.93,-2.39,upright
86.97,-2.39,upright
86.96,-2.42,upright
86.92,-2.47,upright
86.86,-2.51,upright
86.79,-2.56,upright
86.78,-2.58,upright
86.79,-2.63,upright
86.70,-2.75,upright
86.60,-2.91,upright
86.52,-2.98,upright
86.43,-3.03,upright
86.36,-3.04,upright
86.37,-3.00,upright
86.47,-2.94,upright
86.49,-2.90,upright
86.53,-2.88,upright
86.53,-2.92,upright
86.51,-2.91,upright
86.55,-2.89,upright
86.55,-2.95,upright
86.52,-2.95,upright
86.50,-2.96,upright
86.50,-3.00,upright
86.56,-2.93,upright
86.58,-2.99,upright
86.57,-3.02,upright
86.52,-3.05,upright
86.43,-3.05,upright
86.40,-3.04,upright
86.32,-3.05,upright
86.35,-3.02,upright
86.31,-3.06,upright
86.45,-3.03,upright
86.52,-2.97,upright
86.54,-2.97,upright
86.60,-2.95,upright
86.63,-2.95,upright
86.65,-2.92,upright
86.70,-2.85,upright
86.80,-2.81,upright
86.82,-2.84,upright
86.86,-2.83,upright
86.89,-2.81,upright
86.88,-2.81,upright
86.86,-2.84,upright
86.81,-2.93,upright
86.71,-3.05,upright
86.69,-3.12,upright
86.72,-3.13,upright
86.69,-3.15,upright
86.73,-3.11,upright
86.77,-3.09,upright
86.77,-3.10,upright
86.82,-3.09,upright
86.80,-3.15,upright
86.83,-3.13,upright
86.84,-3.11,upright
86.91,-3.06,upright
86.93,-3.04,upright
86.92,-3.06,upright
86.91,-3.08,upright
86.94,-3.06,upright
86.90,-3.09,upright
86.80,-3.19,upright
86.76,-3.23,upright
86.78,-3.22,upright
86.73,-3.27,upright
86.64,-3.36,upright
86.63,-3.37,upright
86.64,-3.36,upright
86.64,-3.35,upright
86.64,-3.36,upright
86.57,-3.43,upright
86.51,-3.49,upright
86.43,-3.57,upright
86.35,-3.64,upright
86.25,-3.75,upright
86.17,-3.83,upright
86.14,-3.86,upright
86.13,-3.87,upright
86.16,-3.84,upright
86.15,-3.85,upright
86.09,-3.91,upright
86.11,-3.89,upright
86.10,-3.89,upright
86.17,-3.83,upright
86.17,-3.83,upright
86.20,-3.80,upright
86.21,-3.79,upright
86.24,-3.76,upright
86.30,-3.70,upright
86.39,-3.61,upright
86.38,-3.61,upright
86.45,-3.53,upright
86.49,-3.48,upright
86.50,-3.48,upright
86.45,-3.51,upright
86.38,-3.60,upright
86.24,-3.73,upright
86.10,-3.86,upright
85.92,-4.02,upright
85.83,-4.08,upright
85.66,-4.18,upright
85.51,-4.25,upright
85.36,-4.29,upright
85.20,-4.34,upright
85.20,-4.27,upright
85.25,-4.18,upright
85.38,-4.09,upright
85.51,-3.95,upright
