Roll,Pitch,Label
76.90,7.68,upright
77.07,7.53,upright
77.16,7.49,upright
77.08,7.53,upright
77.03,7.55,upright
77.02,7.62,upright
76.95,7.73,upright
76.83,7.83,upright
76.75,7.93,upright
76.71,7.94,upright
76.70,8.00,upright
76.75,8.02,upright
76.70,8.05,upright
76.72,8.09,upright
76.73,8.01,upright
76.73,7.93,upright
76.68,7.88,upright
76.69,7.85,upright
76.70,7.82,upright
76.79,7.75,upright
76.88,7.69,upright
76.95,7.63,upright
76.91,7.62,upright
76.90,7.58,upright
76.86,7.52,upright
76.90,7.50,upright
76.94,7.46,upright
76.96,7.45,upright
76.96,7.45,upright
76.94,7.47,upright
76.85,7.50,upright
76.87,7.56,upright
76.79,7.64,upright
76.76,7.73,upright
76.79,7.76,upright
76.84,7.79,upright
76.89,7.81,upright
76.94,7.82,upright
76.99,7.76,upright
76.98,7.73,upright
76.98,7.68,upright
77.00,7.66,upright
77.09,7.61,upright
77.09,7.54,upright
77.05,7.53,upright
76.98,7.54,upright
76.98,7.49,upright
76.89,7.47,upright
76.84,7.48,upright
76.80,7.53,upright
76.77,7.62,upright
76.82,7.66,upright
76.84,7.72,upright
76.95,7.69,upright
76.97,7.66,upright
76.93,7.70,upright
76.84,7.72,upright
76.78,7.70,upright
76.76,7.71,upright
76.73,7.74,upright
76.64,7.76,upright
76.69,7.74,upright
76.68,7.70,upright
76.70,7.67,upright
76.68,7.66,upright
76.67,7.68,upright
76.63,7.65,upright
76.72,7.61,upright
76.87,7.62,upright
77.00,7.61,upright
77.06,7.58,upright
77.04,7.58,upright
77.00,7.57,upright
76.94,7.60,upright
76.89,7.65,upright
76.89,7.65,upright
76.94,7.65,upright
77.02,7.63,upright
76.92,7.66,upright
76.88,7.71,upright
76.89,7.78,upright
76.95,7.83,upright
77.11,7.79,upright
77.22,7.75,upright
77.23,7.71,upright
77.22,7.68,upright
77.12,7.71,upright
77.04,7.77,upright
76.95,7.80,upright
76.79,7.83,upright
76.72,7.92,upright
76.68,7.99,upright
76.78,8.01,upright
76.91,8.02,upright
76.97,7.96,upright
76.97,7.92,upright
77.02,7.90,upright
77.01,7.82,upright
77.04,7.78,upright
76.94,7.75,upright
76.83,7.78,upright
76.81,7.79,upright
76.78,7.83,upright
76.80,7.89,upright
76.81,7.89,upright
76.91,7.85,upright
76.98,7.84,upright
77.02,7.82,upright
77.02,7.76,upright
76.94,7.79,upright
