Roll,Pitch,Label
75.92,2.36,upright
75.97,2.29,upright
75.99,2.03,upright
75.92,2.11,upright
75.82,1.91,upright
75.91,1.69,upright
75.87,1.85,upright
75.88,1.64,upright
75.89,1.40,upright
75.90,1.52,upright
75.93,1.92,upright
76.00,2.07,upright
76.02,1.96,upright
76.08,2.05,upright
76.07,2.46,upright
76.01,2.71,upright
76.04,2.66,upright
75.99,2.84,upright
75.81,3.18,upright
75.77,2.93,upright
75.80,2.69,upright
75.83,2.66,upright
75.90,2.36,upright
75.93,2.14,upright
75.93,2.22,upright
75.85,2.47,upright
75.75,2.70,upright
75.70,2.55,upright
75.78,2.55,upright
75.86,2.55,upright
75.96,2.44,upright
76.03,2.32,upright
76.08,2.22,upright
76.05,2.37,upright
75.93,2.71,upright
75.81,2.70,upright
75.79,2.59,upright
75.66,2.78,upright
75.60,2.63,upright
75.68,2.24,upright
75.74,2.37,upright
75.80,2.25,upright
75.78,2.52,upright
75.86,2.41,upright
76.01,2.66,upright
76.02,2.90,upright
76.09,2.94,upright
76.13,3.17,upright
76.13,3.24,upright
76.14,3.46,upright
76.16,3.42,upright
76.08,3.62,upright
76.00,3.51,upright
75.81,3.68,upright
75.61,3.45,upright
75.50,3.21,upright
75.40,3.31,upright
75.52,2.93,upright
75.55,2.76,upright
75.51,2.59,upright
75.36,2.70,upright
75.26,2.58,upright
75.21,2.64,upright
75.39,2.48,upright
75.52,2.58,upright
75.76,2.23,upright
75.80,2.28,upright
75.80,2.46,upright
75.87,2.20,upright
75.93,2.00,upright
75.92,2.10,upright
75.85,2.44,upright
75.77,2.49,upright
75.79,2.43,upright
75.81,2.72,upright
75.87,2.78,upright
75.83,3.05,upright
75.72,3.30,upright
75.63,3.53,upright
75.71,3.58,upright
75.84,3.63,upright
75.90,3.57,upright
75.85,3.75,upright
75.80,3.78,upright
75.83,3.70,upright
75.80,3.68,upright
75.67,4.03,upright
75.69,3.94,upright
75.77,3.51,upright
75.79,3.57,upright
75.76,3.43,upright
75.76,3.40,upright
75.72,3.37,upright
75.73,3.35,upright
75.74,3.16,upright
75.70,3.45,upright
75.72,3.37,upright
75.65,3.62,upright
75.75,3.47,upright
75.66,3.52,upright
75.58,3.79,upright
75.62,3.85,upright
75.58,3.90,upright
75.67,4.02,upright
75.79,4.00,upright
75.92,3.91,upright
75.99,3.64,upright
75.99,3.76,upright
76.04,3.63,upright
76.05,3.77,upright
76.14,3.59,upright
76.20,3.53,upright
76.32,3.33,upright
76.32,3.19,upright
76.33,3.05,upright
76.18,3.17,upright
76.18,3.21,upright
76.21,3.02,upright
76.03,3.00,upright
75.93,3.16,upright
75.89,3.35,upright
75.91,3.20,upright
75.88,3.39,upright
75.88,3.44,upright
75.90,3.56,upright
75.77,3.96,upright
75.69,4.13,upright
75.65,3.88,upright
75.66,3.83,upright
75.60,3.88,upright
75.64,3.63,upright
75.66,3.56,upright
75.61,3.81,upright
75.63,3.66,upright
75.63,3.67,upright
75.68,3.59,upright
75.61,3.62,upright
75.64,3.18,upright
75.38,3.30,upright
75.33,3.09,upright
75.32,3.23,upright
75.27,3.09,upright
75.20,3.33,upright
75.30,3.32,upright
75.46,3.36,upright
75.49,3.58,upright
75.53,3.46,upright
75.52,3.58,upright
75.39,3.89,upright
75.42,3.84,upright
75.49,3.87,upright
75.52,4.05,upright
75.53,3.77,upright
75.55,3.82,upright
75.63,3.45,upright
75.75,3.04,upright
75.73,2.79,upright
75.67,2.88,upright
75.61,3.20,upright
75.58,2.99,upright
75.66,2.88,upright
75.71,3.15,upright
75.74,3.21,upright
75.88,3.10,upright
75.83,3.27,upright
75.83,3.49,upright
75.73,3.76,upright
75.76,3.70,upright
75.71,3.88,upright
75.71,3.73,upright
75.60,4.02,upright
75.66,3.87,upright
75.67,4.10,upright
75.67,4.29,upright
75.68,4.05,upright
75.55,4.01,upright
75.43,3.99,upright
75.35,4.01,upright
75.20,4.16,upright
75.32,3.97,upright
75.34,4.01,upright
75.42,3.91,upright
75.37,3.81,upright
75.48,3.77,upright
75.45,3.79,upright
75.49,3.79,upright
75.49,3.78,upright
75.47,3.91,upright
75.53,4.03,upright
75.64,3.80,upright
75.64,3.92,upright
75.64,3.97,upright
75.67,3.95,upright
75.66,4.02,upright
75.71,3.93,upright
75.63,3.93,upright
75.66,3.89,upright
75.59,3.84,upright
75.53,3.78,upright
75.50,3.81,upright
75.49,3.74,upright
75.54,3.76,upright
75.53,3.97,upright
75.51,3.92,upright
75.45,4.07,upright
75.46,3.93,upright
75.40,4.15,upright
75.38,4.07,upright
75.30,4.23,upright
75.42,3.89,upright
75.41,3.98,upright
75.45,3.74,upright
75.43,3.53,upright
75.32,3.41,upright
75.14,3.34,upright
75.14,3.20,upright
75.35,3.00,upright
75.71,2.78,upright
75.93,2.79,upright
76.08,3.05,upright
76.36,3.12,upright
76.62,3.49,upright
76.70,3.89,upright
76.60,4.36,upright
76.36,4.91,upright
76.05,5.10,upright
75.80,5.33,upright
75.75,5.39,upright
75.83,5.33,upright
75.86,5.38,upright
75.99,5.20,upright
75.96,5.12,upright
75.88,5.00,upright
75.85,4.92,upright
75.81,4.95,upright
75.88,4.82,upright
76.03,4.62,upright
76.33,4.28,upright
76.50,4.01,upright
76.55,3.88,upright
76.54,3.77,upright
76.55,3.73,upright
76.51,3.73,upright
76.44,3.73,upright
76.41,3.77,upright
76.44,3.73,upright
76.47,3.68,upright
76.45,3.72,upright
76.43,3.74,upright
76.38,3.86,upright
76.44,3.95,upright
76.53,4.05,upright
76.56,4.06,upright
76.60,4.04,upright
76.49,4.10,upright
76.32,4.21,upright
76.23,4.30,upright
76.09,4.37,upright
76.00,4.38,upright
75.94,4.42,upright
75.88,4.42,upright
75.86,4.41,upright
75.85,4.44,upright
75.80,4.50,upright
75.79,4.49,upright
75.80,4.42,upright
75.85,4.32,upright
75.95,4.21,upright
76.03,4.15,upright
76.07,4.13,upright
76.17,4.13,upright
76.23,4.15,upright
76.23,4.25,upright
76.19,4.30,upright
76.01,4.45,upright
76.02,4.49,upright
76.04,4.56,upright
76.04,4.54,upright
76.03,4.60,upright
76.07,4.60,upright
76.08,4.49,upright
76.04,4.56,upright
75.99,4.56,upright
75.91,4.58,upright
75.83,4.62,upright
75.78,4.61,upright
75.64,4.69,upright
75.47,4.71,upright
75.27,4.74,upright
75.13,4.81,upright
74.93,4.83,upright
74.89,4.79,upright
74.89,4.67,upright
74.94,4.60,upright
75.05,4.52,upright
74.98,4.50,upright
74.89,4.57,upright
74.91,4.52,upright
74.90,4.55,upright
74.93,4.61,upright
74.89,4.71,upright
74.84,4.66,upright
74.88,4.71,upright
74.92,4.66,upright
75.07,4.64,upright
75.05,4.68,upright
75.12,4.69,upright
75.15,4.73,upright
75.19,4.72,upright
75.28,4.70,upright
75.28,4.64,upright
75.39,4.54,upright
75.47,4.47,upright
75.51,4.50,upright
75.38,4.49,upright
75.10,4.56,upright
74.86,4.60,upright
74.67,4.66,upright
74.50,4.74,upright
74.46,4.87,upright
74.45,4.97,upright
74.44,5.14,upright
74.64,5.23,upright
74.84,5.26,upright
74.87,5.33,upright
74.94,5.28,upright
74.97,5.26,upright
75.13,5.14,upright
75.33,4.97,upright
75.39,4.81,upright
75.42,4.76,upright
75.46,4.69,upright
75.44,4.60,upright
75.53,4.39,upright
75.58,4.35,upright
75.74,4.27,upright
75.94,4.20,upright
75.97,4.17,upright
75.92,4.14,upright
75.87,4.18,upright
75.74,4.31,upright
75.52,4.45,upright
75.32,4.58,upright
75.16,4.67,upright
75.16,4.78,upright
75.21,4.86,upright
75.31,4.90,upright
75.32,5.00,upright
75.30,5.08,upright
75.11,5.14,upright
75.02,5.15,upright
75.06,5.02,upright
75.17,4.84,upright
75.33,4.62,upright
75.36,4.49,upright
75.50,4.31,upright
75.64,4.18,upright
75.62,4.09,upright
75.74,4.03,upright
75.74,3.85,upright
75.68,3.82,upright
75.57,3.77,upright
75.52,3.78,upright
75.58,3.78,upright
75.67,3.75,upright
75.76,3.65,upright
75.85,3.56,upright
75.88,3.60,upright
75.88,3.57,upright
75.86,3.66,upright
75.90,3.63,upright
75.97,3.62,upright
75.99,3.64,upright
75.98,3.70,upright
75.92,3.68,upright
75.77,3.72,upright
75.58,3.79,upright
75.44,3.84,upright
75.34,3.90,upright
75.33,3.87,upright
75.45,3.79,upright
75.65,3.69,upright
75.71,3.61,upright
75.76,3.61,upright
75.64,3.55,upright
75.58,3.52,upright
75.55,3.46,upright
75.56,3.37,upright
75.62,3.39,upright
75.65,3.44,upright
75.61,3.45,upright
75.45,3.53,upright
75.20,3.63,upright
74.99,3.74,upright
74.82,3.80,upright
74.77,3.92,upright
74.77,3.97,upright
74.80,4.01,upright
74.85,4.00,upright
74.83,3.98,upright
74.88,3.97,upright
74.79,3.92,upright
74.71,3.94,upright
74.66,4.02,upright
74.69,4.02,upright
74.72,4.01,upright
74.74,4.05,upright
74.81,4.04,upright
74.95,4.01,upright
75.05,4.00,upright
75.16,3.90,upright
75.18,3.82,upright
75.22,3.79,upright
75.28,3.85,upright
75.27,3.74,upright
75.16,3.63,upright
75.15,3.58,upright
75.10,3.51,upright
75.05,3.64,upright
74.91,3.73,upright
74.90,3.71,upright
74.86,3.75,upright
74.84,3.74,upright
74.88,3.76,upright
74.92,3.75,upright
74.94,3.76,upright
74.89,3.80,upright
74.94,3.74,upright
74.95,3.70,upright
75.07,3.66,upright
75.32,3.36,upright
75.39,3.30,upright
75.48,3.12,upright
75.61,3.06,upright
75.61,3.00,upright
75.61,2.93,upright
75.58,2.93,upright
75.48,2.92,upright
75.51,2.95,upright
75.48,3.02,upright
75.45,3.06,upright
75.53,3.11,upright
75.62,3.21,upright
75.60,3.29,upright
75.62,3.37,upright
75.65,3.41,upright
75.61,3.34,upright
75.49,3.34,upright
75.42,3.25,upright
75.44,3.18,upright
75.32,3.19,upright
75.34,3.15,upright
75.32,3.18,upright
75.42,3.14,upright
75.47,3.11,upright
75.43,3.11,upright
75.46,3.13,upright
75.51,3.12,upright
75.51,3.05,upright
75.49,3.10,upright
75.49,3.14,upright
75.54,3.08,upright
75.56,3.08,upright
75.70,3.06,upright
75.76,3.09,upright
75.71,3.06,upright
75.66,3.06,upright
75.54,2.98,upright
75.46,2.94,upright
75.46,2.96,upright
75.60,2.92,upright
75.78,2.90,upright
76.03,2.86,upright
76.14,2.87,upright
76.06,2.95,upright
76.01,3.07,upright
76.09,3.12,upright
76.18,3.29,upright
76.36,3.45,upright
76.49,3.61,upright
76.59,3.75,upright
76.62,3.97,upright
76.55,4.12,upright
76.44,4.21,upright
76.40,4.31,upright
76.33,4.29,upright
76.23,4.26,upright
76.17,4.29,upright
76.11,4.30,upright
75.95,4.26,upright
75.95,4.16,upright
75.85,4.20,upright
75.80,4.13,upright
75.72,3.94,upright
75.60,3.84,upright
75.52,3.71,upright
75.53,3.63,upright
75.50,3.57,upright
75.49,3.55,upright
75.49,3.55,upright
75.40,3.60,upright
75.40,3.67,upright
75.39,3.70,upright
75.42,3.68,upright
75.44,3.72,upright
75.40,3.75,upright
75.34,3.81,upright
75.37,3.85,upright
75.37,3.85,upright
75.46,3.90,upright
75.47,3.87,upright
75.51,3.93,upright
75.56,3.96,upright
75.57,3.95,upright
75.64,3.91,upright
75.65,3.95,upright
75.71,3.90,upright
75.78,3.96,upright
75.82,3.98,upright
75.78,4.08,upright
75.80,4.12,upright
75.81,4.11,upright
75.79,4.18,upright
75.75,4.20,upright
75.79,4.23,upright
75.80,4.33,upright
75.77,4.39,upright
75.81,4.48,upright
75.77,4.65,upright
75.71,4.71,upright
75.64,4.68,upright
75.59,4.65,upright
75.60,4.63,upright
75.64,4.58,upright
75.68,4.49,upright
75.68,4.42,upright
75.68,4.43,upright
75.73,4.46,upright
75.83,4.48,upright
75.87,4.51,upright
75.96,4.61,upright
76.08,4.63,upright
76.16,4.71,upright
76.22,4.82,upright
76.22,4.93,upright
76.24,4.96,upright
76.21,4.93,upright
76.17,4.94,upright
76.16,4.92,upright
76.16,4.93,upright
76.09,5.01,upright
76.00,5.01,upright
75.94,4.99,upright
75.80,5.04,upright
75.82,5.08,upright
75.88,5.08,upright
75.91,5.17,upright
75.92,5.23,upright
75.93,5.28,upright
76.00,5.31,upright
76.01,5.36,upright
76.10,5.34,upright
76.13,5.32,upright
76.25,5.10,upright
76.17,5.12,upright
76.28,5.06,upright
76.33,4.97,upright
76.31,4.89,upright
76.36,4.90,upright
76.33,5.01,upright
76.36,5.15,upright
76.35,5.26,upright
76.28,5.42,upright
76.41,5.46,upright
76.49,5.62,upright
76.56,5.66,upright
76.68,5.55,upright
76.75,5.53,upright
76.84,5.44,upright
76.96,5.28,upright
77.00,5.15,upright
77.08,4.96,upright
77.13,4.80,upright
77.14,4.74,upright
77.15,4.64,upright
77.12,4.55,upright
77.15,4.44,upright
77.23,4.40,upright
77.26,4.40,upright
77.30,4.44,upright
77.34,4.47,upright
77.46,4.55,upright
77.44,4.72,upright
77.43,4.85,upright
77.40,5.04,upright
77.47,5.14,upright
77.53,5.15,upright
77.57,5.12,upright
77.61,5.07,upright
77.71,5.01,upright
77.84,4.98,upright
77.88,4.98,upright
77.92,5.03,upright
77.85,5.09,upright
77.93,5.12,upright
77.91,5.15,upright
77.87,5.16,upright
77.88,5.23,upright
77.92,5.22,upright
77.94,5.24,upright
77.96,5.22,upright
78.01,5.20,upright
78.14,5.14,upright
78.25,5.10,upright
78.30,5.07,upright
78.33,5.05,upright
78.31,5.07,upright
78.33,5.02,upright
78.33,5.02,upright
78.39,5.05,upright
78.34,5.12,upright
78.36,5.17,upright
78.35,5.25,upright
78.40,5.30,upright
78.36,5.34,upright
78.30,5.39,upright
78.35,5.34,upright
78.41,5.26,upright
78.46,5.13,upright
78.48,5.00,upright
78.53,4.87,upright
78.56,4.76,upright
78.72,4.52,upright
78.80,4.42,upright
78.82,4.35,upright
78.78,4.38,upright
78.71,4.46,upright
78.66,4.59,upright
78.62,4.71,upright
78.54,4.81,upright
78.49,4.99,upright
78.40,5.19,upright
78.38,5.33,upright
78.37,5.41,upright
78.43,5.41,upright
78.46,5.34,upright
78.44,5.30,upright
78.37,5.28,upright
78.37,5.17,upright
78.37,5.06,upright
78.41,5.00,upright
78.40,4.87,upright
78.38,4.84,upright
78.35,4.85,upright
78.32,4.80,upright
78.35,4.78,upright
78.36,4.74,upright
78.27,4.81,upright
78.21,4.80,upright
78.16,4.83,upright
78.08,4.86,upright
78.17,4.85,upright
78.21,4.92,upright
78.14,5.11,upright
78.11,5.20,upright
78.05,5.26,upright
77.96,5.33,upright
77.85,5.42,upright
77.87,5.45,upright
77.98,5.39,upright
78.05,5.39,upright
78.21,5.26,upright
78.24,5.21,upright
78.23,5.21,upright
78.24,5.29,upright
78.24,5.40,upright
78.26,5.45,upright
78.28,5.53,upright
78.24,5.53,upright
78.28,5.50,upright
78.33,5.34,upright
78.43,5.19,upright
78.47,5.11,upright
78.49,5.04,upright
78.44,5.11,upright
78.38,5.08,upright
78.35,5.05,upright
78.32,5.07,upright
78.32,5.06,upright
78.34,5.09,upright
78.32,5.20,upright
78.24,5.30,upright
78.20,5.40,upright
78.15,5.52,upright
78.15,5.56,upright
78.11,5.65,upright
78.07,5.78,upright
78.12,5.88,upright
78.15,5.91,upright
78.16,5.94,upright
78.11,6.01,upright
78.11,6.09,upright
78.08,6.12,upright
78.12,6.20,upright
78.17,6.25,upright
78.17,6.26,upright
78.20,6.25,upright
78.21,6.24,upright
78.20,6.17,upright
78.26,6.13,upright
78.29,6.00,upright
78.43,5.80,upright
78.55,5.55,upright
78.68,5.31,upright
78.65,5.14,upright
78.67,4.99,upright
78.67,4.94,upright
78.65,4.92,upright
78.64,4.93,upright
78.62,5.01,upright
78.60,5.14,upright
78.64,5.30,upright
78.66,5.49,upright
78.55,5.62,upright
78.59,5.76,upright
78.64,5.89,upright
78.68,5.92,upright
78.64,5.91,upright
78.57,5.96,upright
78.45,5.94,upright
78.44,5.91,upright
78.47,5.85,upright
78.52,5.78,upright
78.54,5.73,upright
78.52,5.65,upright
78.47,5.61,upright
78.52,5.53,upright
78.39,5.53,upright
78.37,5.51,upright
78.47,5.45,upright
78.63,5.35,upright
78.69,5.24,upright
78.69,5.14,upright
78.64,5.15,upright
78.56,5.13,upright
78.55,5.14,upright
78.59,5.14,upright
78.53,5.22,upright
78.46,5.30,upright
78.35,5.47,upright
78.19,5.62,upright
78.08,5.76,upright
78.02,5.88,upright
77.98,5.93,upright
78.08,5.93,upright
78.21,5.89,upright
78.32,5.79,upright
78.32,5.69,upright
78.37,5.58,upright
78.35,5.46,upright
78.43,5.38,upright
78.54,5.23,upright
78.61,5.10,upright
78.72,5.01,upright
78.76,4.96,upright
78.73,4.93,upright
78.69,4.89,upright
78.65,4.90,upright
78.64,4.95,upright
78.60,5.03,upright
78.51,5.11,upright
78.42,5.16,upright
78.39,5.23,upright
78.37,5.30,upright
78.40,5.41,upright
78.35,5.50,upright
78.20,5.63,upright
78.14,5.67,upright
78.18,5.67,upright
78.23,5.63,upright
78.25,5.60,upright
78.23,5.59,upright
78.21,5.56,upright
78.16,5.55,upright
78.12,5.48,upright
78.02,5.57,upright
78.07,5.56,upright
78.07,5.61,upright
78.07,5.68,upright
78.07,5.72,upright
78.11,5.71,upright
78.09,5.75,upright
78.07,5.78,upright
78.07,5.81,upright
78.02,5.80,upright
78.01,5.74,upright
78.05,5.71,upright
78.14,5.66,upright
78.11,5.69,upright
78.16,5.69,upright
78.17,5.69,upright
78.10,5.69,upright
78.06,5.66,upright
78.06,5.59,upright
78.03,5.57,upright
78.10,5.57,upright
78.06,5.59,upright
78.10,5.57,upright
78.14,5.54,upright
78.21,5.56,upright
78.24,5.56,upright
78.18,5.59,upright
78.18,5.60,upright
78.11,5.66,upright
77.95,5.84,upright
77.92,5.92,upright
77.84,5.98,upright
77.80,6.05,upright
77.79,6.04,upright
77.81,6.02,upright
77.89,5.97,upright
77.96,5.82,upright
77.90,5.80,upright
77.81,5.79,upright
77.77,5.83,upright
77.77,5.77,upright
77.69,5.76,upright
77.66,5.68,upright
77.68,5.67,upright
77.66,5.68,upright
77.64,5.58,upright
77.60,5.58,upright
77.56,5.63,upright
77.58,5.64,upright
77.60,5.63,upright
77.64,5.63,upright
77.68,5.61,upright
77.72,5.64,upright
77.67,5.66,upright
77.58,5.68,upright
77.57,5.70,upright
77.55,5.64,upright
77.53,5.60,upright
77.52,5.53,upright
77.53,5.48,upright
77.42,5.51,upright
77.32,5.54,upright
77.25,5.55,upright
77.22,5.57,upright
77.28,5.59,upright
77.29,5.65,upright
77.28,5.69,upright
77.31,5.71,upright
77.41,5.68,upright
77.46,5.67,upright
77.44,5.65,upright
77.42,5.61,upright
77.33,5.58,upright
77.38,5.49,upright
77.45,5.43,upright
77.52,5.41,upright
77.41,5.47,upright
77.44,5.48,upright
77.43,5.48,upright
77.41,5.48,upright
77.41,5.55,upright
77.40,5.59,upright
77.40,5.67,upright
77.35,5.75,upright
77.30,5.82,upright
77.28,5.85,upright
77.27,5.84,upright
77.38,5.78,upright
77.53,5.67,upright
77.66,5.58,upright
77.75,5.54,upright
77.78,5.47,upright
77.77,5.45,upright
77.80,5.40,upright
77.83,5.34,upright
77.91,5.29,upright
77.96,5.29,upright
77.96,5.32,upright
77.83,5.45,upright
77.87,5.48,upright
77.85,5.55,upright
77.88,5.57,upright
77.79,5.66,upright
77.69,5.70,upright
77.49,5.73,upright
77.30,5.67,upright
77.20,5.58,upright
77.14,5.44,upright
77.11,5.39,upright
77.12,5.29,upright
77.13,5.25,upright
77.17,5.16,upright
77.15,5.12,upright
77.20,5.18,upright
77.26,5.26,upright
77.34,5.37,upright
77.42,5.49,upright
77.30,5.68,upright
77.16,5.80,upright
76.99,5.95,upright
76.84,6.10,upright
76.64,6.19,upright
76.48,6.22,upright
76.51,6.17,upright
76.44,6.16,upright
76.29,6.12,upright
76.18,6.15,upright
76.05,6.22,upright
75.93,6.22,upright
75.74,6.29,upright
76.02,6.42,upright
76.21,6.55,upright
76.05,6.60,upright
75.66,6.84,upright
75.38,7.06,upright
75.20,7.16,upright
75.11,7.18,upright
75.15,7.16,upright
75.14,7.16,upright
75.17,7.09,upright
75.29,6.99,upright
75.46,6.96,upright
75.57,6.91,upright
75.65,6.83,upright
75.63,6.80,upright
75.63,6.80,upright
75.71,6.79,upright
75.71,6.79,upright
75.65,6.83,upright
75.49,6.99,upright
75.28,7.19,upright
75.10,7.38,upright
74.91,7.58,upright
74.76,7.78,upright
74.67,8.00,upright
74.75,8.20,upright
74.86,8.31,upright
74.93,8.52,upright
74.92,8.67,upright
74.90,8.75,upright
74.84,8.72,upright
74.66,8.65,upright
74.59,8.52,upright
74.60,8.33,upright
74.66,8.14,upright
74.81,7.94,upright
74.81,7.78,upright
75.00,7.57,upright
75.03,7.50,upright
75.08,7.44,upright
75.14,7.36,upright
75.24,7.40,upright
75.25,7.48,upright
75.18,7.53,upright
75.19,7.53,upright
75.09,7.55,upright
75.09,7.52,upright
75.08,7.49,upright
75.03,7.47,upright
74.90,7.45,upright
74.81,7.44,upright
74.75,7.44,upright
74.79,7.38,upright
74.88,7.29,upright
74.95,7.20,upright
75.06,7.16,upright
75.14,7.12,upright
75.32,7.14,upright
75.49,7.15,upright
75.70,7.17,upright
75.87,7.20,upright
75.95,7.25,upright
